"symbols","sortino_ratio"
"QCOM",0.559
"TSM",0.317
"TSLA",0.195
"AVGO",0.116
"AMZN",0.066
"SMH",-0.047
"AAPL",-0.177
"GOOGL",-0.267
"GOOG",-0.283
"JPM",-0.306
