"symbols","sortino_ratio"
"V",2.14
"ZTS",1.314
"ACN",0.728
"CME",0.61
"NXPI",0.579
"PGR",0.555
"TXN",0.504
"BA",0.494
"MAR",0.393
"MSFT",0.393
"SMH",0.389
"DHR",0.358
"TSM",0.317
"NFLX",0.307
"AMGN",0.285
"CRWD",0.276
"DE",0.254
"CRM",0.243
"HLT",0.242
"WDAY",0.167
"AXP",0.166
"PEP",0.166
"UNH",0.148
"GE",0.145
"LOW",0.145
"HD",0.136
"HON",0.134
"ETN",0.129
"COST",0.123
"ANET",0.116
"MCD",0.081
"JNJ",0.074
"AMZN",0.066
"GEV",0.057
"META",0.047
"UNP",0.044
"FI",0.036
"CEG",0.025
"ADBE",0.023
"IBM",0.018
"MA",0.016
"ADI",0.013
"PANW",0.012
"QQQM",0.008
"FSLR",-0.018
"QCOM",-0.018
"PNC",-0.032
"SOXX",-0.039
"ABBV",-0.049
"CAT",-0.075
"LULU",-0.08
"TEAM",-0.109
"AMAT",-0.116
"BRK-B",-0.116
"TMUS",-0.121
"PG",-0.132
"LLY",-0.21
"SMCI",-0.216
"JPM",-0.306
"MPC",-0.734
